Cliente,Idade,Valor_Gasto
Cliente 1,58,704.1
Cliente 2,25,2344.8
Cliente 3,19,1637.69
Cliente 4,65,1542.37
Cliente 5,35,469.29
Cliente 6,33,1836.36
Cliente 7,32,450.34
Cliente 8,26,979.67
Cliente 9,65,2474.33
Cliente 10,24,1618.0
Cliente 11,61,1414.53
Cliente 12,65,1727.3
Cliente 13,75,2114.99
Cliente 14,52,1951.2
Cliente 15,23,611.17
Cliente 16,55,128.65
Cliente 17,45,822.86
Cliente 18,20,705.97
Cliente 19,19,566.91
Cliente 20,23,2360.13
Cliente 21,31,2197.1
Cliente 22,32,820.96
Cliente 23,50,1655.82
Cliente 24,56,1019.3
Cliente 25,19,2290.64
Cliente 26,53,1174.19
Cliente 27,30,698.96
Cliente 28,63,654.24
Cliente 29,59,1425.35
Cliente 30,62,693.72
Cliente 31,52,1482.24
Cliente 32,44,2249.67
Cliente 33,32,1028.53
Cliente 34,46,587.34
Cliente 35,55,2493.97
Cliente 36,35,1298.34
Cliente 37,69,272.73
Cliente 38,73,165.44
Cliente 39,18,318.64
Cliente 40,66,1587.24
Cliente 41,69,1990.59
Cliente 42,28,1084.29
Cliente 43,62,205.64
Cliente 44,45,984.97
Cliente 45,39,2490.5
Cliente 46,35,1346.33
Cliente 47,27,2429.14
Cliente 48,31,2158.91
Cliente 49,66,78.13
Cliente 50,39,1815.77
Cliente 51,24,1720.19
Cliente 52,23,1365.58
Cliente 53,42,703.72
Cliente 54,24,1620.36
Cliente 55,40,323.3
Cliente 56,72,1115.17
Cliente 57,40,1161.62
Cliente 58,56,2386.85
Cliente 59,34,2195.84
Cliente 60,69,695.3
Cliente 61,20,1276.44
Cliente 62,64,487.7
Cliente 63,47,2285.94
Cliente 64,52,2182.77
Cliente 65,25,781.19
Cliente 66,42,1615.43
Cliente 67,23,1541.98
Cliente 68,53,424.46
Cliente 69,36,1918.15
Cliente 70,71,1371.48
Cliente 71,58,1957.63
Cliente 72,57,1349.37
Cliente 73,74,51.4
Cliente 74,73,844.18
Cliente 75,41,97.72
Cliente 76,54,2326.29
Cliente 77,30,2202.87
Cliente 78,63,2087.58
Cliente 79,22,803.41
Cliente 80,20,191.92
Cliente 81,60,2201.12
Cliente 82,32,2370.03
Cliente 83,67,259.85
Cliente 84,36,1240.68
Cliente 85,23,219.57
Cliente 86,72,1913.48
Cliente 87,32,1926.29
Cliente 88,73,364.56
Cliente 89,24,1214.44
Cliente 90,42,1397.02
Cliente 91,35,699.39
Cliente 92,47,2187.46
Cliente 93,58,1086.69
Cliente 94,71,568.91
Cliente 95,41,1371.28
Cliente 96,28,1838.33
Cliente 97,41,542.82
Cliente 98,40,813.7
Cliente 99,31,2488.12
Cliente 100,60,1642.2
