idade,sistema_operacional,linguagem_preferida,tempo_uso_diario
18,Windows,Python,2.5
22,Android,JavaScript,4.0
25,Windows,Python,3.2
31,Linux,Java,5.5
28,macOS,C#,4.2
35,Windows,Python,6.0
42,iOS,JavaScript,3.5
24,Android,Kotlin,5.0
19,Windows,C#,2.8
27,Linux,Java,6.5
33,Windows,Python,4.5
29,macOS,JavaScript,3.0
21,Android,PHP,5.8
38,Windows,Python,4.2
45,iOS,Swift,6.2
26,Linux,Java,7.0
30,Windows,C#,3.8
23,Android,Python,5.5
34,macOS,JavaScript,4.0
20,Windows,PHP,6.8
37,Linux,Python,2.2
32,Android,Java,4.5
28,Windows,C#,5.0
41,iOS,JavaScript,3.5
25,Windows,Python,6.0
22,macOS,Kotlin,4.8
36,Android,JavaScript,7.2
29,Linux,Python,3.2
31,Windows,C#,5.5
24,Windows,Java,4.0
18,iOS,Swift,2.5
27,Android,Python,6.5
39,macOS,JavaScript,4.2
44,Windows,PHP,5.8
26,Linux,Python,3.8
33,Android,Java,7.0
21,Windows,Kotlin,4.5
35,iOS,C#,6.2
28,Windows,Python,3.0
30,macOS,JavaScript,5.0
23,Linux,PHP,4.2
40,Android,Python,6.8
32,Windows,Java,2.8
19,Windows,C#,5.5
27,iOS,JavaScript,4.0
34,Android,Python,7.5
25,Linux,Swift,3.5
29,macOS,Java,5.2
43,Windows,Python,4.8
22,Android,JavaScript,6.0
31,Windows,C#,3.2
26,iOS,Python,5.5
38,Android,PHP,4.0
24,Linux,Java,6.5
35,Windows,JavaScript,2.5
28,macOS,Python,7.0
20,Android,Kotlin,4.5
33,Windows,C#,5.8
41,Linux,Python,3.8
27,iOS,JavaScript,6.2
30,Windows,Java,4.0
23,Android,Python,5.0
36,macOS,PHP,3.5
25,Windows,C#,6.8
32,Linux,JavaScript,4.2
39,Android,Python,5.5
21,Windows,Swift,7.2
28,iOS,Java,3.0
34,Windows,Python,4.8
26,macOS,C#,6.0
45,Linux,JavaScript,2.8
29,Android,PHP,5.2
31,Windows,Python,4.5
22,iOS,Kotlin,6.5
37,Windows,Java,3.8
24,macOS,C#,7.0
33,Android,Python,4.0
40,Linux,JavaScript,5.5
27,Windows,PHP,3.2
35,Android,Python,6.2
19,iOS,Java,4.8
28,Windows,C#,5.8
42,macOS,Python,2.5
30,Linux,JavaScript,6.8
25,Android,Swift,4.2
34,Windows,Python,5.0
23,iOS,Java,3.5
38,Windows,C#,7.5
29,Linux,Python,4.0
21,macOS,JavaScript,5.5
36,Android,PHP,3.0
26,Windows,Kotlin,6.0
31,Linux,Python,4.5
44,iOS,Java,5.2
20,Windows,C#,3.8
27,Android,Python,4.8
32,macOS,JavaScript,5.5
39,Windows,PHP,4.2
24,Linux,Python,6.0
35,Android,Java,3.5
